iter 2292, val_unseen , nav_error: 7.2557, oracle_error: 4.8008, steps: 21.5194, lengths: 8.8003, success_rate: 0.3223, oracle_rate: 0.3925, spl: 0.3034, val_seen , nav_error: 7.1385, oracle_error: 4.9501, steps: 22.2390, lengths: 8.9607, success_rate: 0.3369, oracle_rate: 0.4016, spl: 0.3238, train , nav_error: 6.8474, oracle_error: 4.7067, steps: 22.1346, lengths: 8.9743, success_rate: 0.3554, oracle_rate: 0.4282, spl: 0.3367
BEST RESULT TILL NOW: val_seen | Iter 1844 iter 1844, val_unseen , nav_error: 7.4100, oracle_error: 4.8204, steps: 22.5032, lengths: 9.0627, success_rate: 0.3027, oracle_rate: 0.3908, spl: 0.2811, val_seen , nav_error: 7.0484, oracle_error: 4.7943, steps: 23.9618, lengths: 9.3676, success_rate: 0.3457, oracle_rate: 0.4212, spl: 0.3285, train , nav_error: 7.0312, oracle_error: 4.6956, steps: 23.3516, lengths: 9.2660, success_rate: 0.3410, oracle_rate: 0.4259, spl: 0.3203
BEST RESULT TILL NOW: val_unseen | Iter 2051 iter 2051, val_unseen , nav_error: 7.2197, oracle_error: 4.6736, steps: 22.9089, lengths: 9.1304, success_rate: 0.3359, oracle_rate: 0.4151, spl: 0.3121, val_seen , nav_error: 7.1014, oracle_error: 4.7861, steps: 24.0000, lengths: 9.3615, success_rate: 0.3428, oracle_rate: 0.4182, spl: 0.3262, train , nav_error: 6.9641, oracle_error: 4.6548, steps: 23.2903, lengths: 9.3284, success_rate: 0.3482, oracle_rate: 0.4327, spl: 0.3261
iter 2531, val_unseen , nav_error: 6.9664, oracle_error: 4.7179, steps: 21.3133, lengths: 8.6630, success_rate: 0.3367, oracle_rate: 0.4023, spl: 0.3180, val_seen , nav_error: 7.1705, oracle_error: 5.0384, steps: 22.1117, lengths: 8.8274, success_rate: 0.3457, oracle_rate: 0.4006, spl: 0.3327, train , nav_error: 6.6277, oracle_error: 4.6361, steps: 21.9417, lengths: 8.8321, success_rate: 0.3637, oracle_rate: 0.4313, spl: 0.3463
BEST RESULT TILL NOW: val_seen | Iter 2531 iter 2531, val_unseen , nav_error: 6.9664, oracle_error: 4.7179, steps: 21.3133, lengths: 8.6630, success_rate: 0.3367, oracle_rate: 0.4023, spl: 0.3180, val_seen , nav_error: 7.1705, oracle_error: 5.0384, steps: 22.1117, lengths: 8.8274, success_rate: 0.3457, oracle_rate: 0.4006, spl: 0.3327, train , nav_error: 6.6277, oracle_error: 4.6361, steps: 21.9417, lengths: 8.8321, success_rate: 0.3637, oracle_rate: 0.4313, spl: 0.3463
BEST RESULT TILL NOW: val_unseen | Iter 2531 iter 2531, val_unseen , nav_error: 6.9664, oracle_error: 4.7179, steps: 21.3133, lengths: 8.6630, success_rate: 0.3367, oracle_rate: 0.4023, spl: 0.3180, val_seen , nav_error: 7.1705, oracle_error: 5.0384, steps: 22.1117, lengths: 8.8274, success_rate: 0.3457, oracle_rate: 0.4006, spl: 0.3327, train , nav_error: 6.6277, oracle_error: 4.6361, steps: 21.9417, lengths: 8.8321, success_rate: 0.3637, oracle_rate: 0.4313, spl: 0.3463
iter 2760, val_unseen , nav_error: 7.0081, oracle_error: 4.7337, steps: 21.8276, lengths: 8.7285, success_rate: 0.3355, oracle_rate: 0.4014, spl: 0.3166, val_seen , nav_error: 6.9082, oracle_error: 4.9079, steps: 22.4770, lengths: 8.9141, success_rate: 0.3408, oracle_rate: 0.4035, spl: 0.3294, train , nav_error: 6.6727, oracle_error: 4.6608, steps: 22.3019, lengths: 8.8619, success_rate: 0.3621, oracle_rate: 0.4289, spl: 0.3437
BEST RESULT TILL NOW: val_seen | Iter 2531 iter 2531, val_unseen , nav_error: 6.9664, oracle_error: 4.7179, steps: 21.3133, lengths: 8.6630, success_rate: 0.3367, oracle_rate: 0.4023, spl: 0.3180, val_seen , nav_error: 7.1705, oracle_error: 5.0384, steps: 22.1117, lengths: 8.8274, success_rate: 0.3457, oracle_rate: 0.4006, spl: 0.3327, train , nav_error: 6.6277, oracle_error: 4.6361, steps: 21.9417, lengths: 8.8321, success_rate: 0.3637, oracle_rate: 0.4313, spl: 0.3463
BEST RESULT TILL NOW: val_unseen | Iter 2531 iter 2531, val_unseen , nav_error: 6.9664, oracle_error: 4.7179, steps: 21.3133, lengths: 8.6630, success_rate: 0.3367, oracle_rate: 0.4023, spl: 0.3180, val_seen , nav_error: 7.1705, oracle_error: 5.0384, steps: 22.1117, lengths: 8.8274, success_rate: 0.3457, oracle_rate: 0.4006, spl: 0.3327, train , nav_error: 6.6277, oracle_error: 4.6361, steps: 21.9417, lengths: 8.8321, success_rate: 0.3637, oracle_rate: 0.4313, spl: 0.3463
iter 2951, val_unseen , nav_error: 6.9609, oracle_error: 4.6564, steps: 22.5045, lengths: 8.7555, success_rate: 0.3427, oracle_rate: 0.4155, spl: 0.3239, val_seen , nav_error: 6.9165, oracle_error: 4.8503, steps: 23.3242, lengths: 8.9475, success_rate: 0.3487, oracle_rate: 0.4133, spl: 0.3359, train , nav_error: 6.6268, oracle_error: 4.6065, steps: 23.2623, lengths: 8.9347, success_rate: 0.3654, oracle_rate: 0.4365, spl: 0.3469
BEST RESULT TILL NOW: val_seen | Iter 2951 iter 2951, val_unseen , nav_error: 6.9609, oracle_error: 4.6564, steps: 22.5045, lengths: 8.7555, success_rate: 0.3427, oracle_rate: 0.4155, spl: 0.3239, val_seen , nav_error: 6.9165, oracle_error: 4.8503, steps: 23.3242, lengths: 8.9475, success_rate: 0.3487, oracle_rate: 0.4133, spl: 0.3359, train , nav_error: 6.6268, oracle_error: 4.6065, steps: 23.2623, lengths: 8.9347, success_rate: 0.3654, oracle_rate: 0.4365, spl: 0.3469
BEST RESULT TILL NOW: val_unseen | Iter 2951 iter 2951, val_unseen , nav_error: 6.9609, oracle_error: 4.6564, steps: 22.5045, lengths: 8.7555, success_rate: 0.3427, oracle_rate: 0.4155, spl: 0.3239, val_seen , nav_error: 6.9165, oracle_error: 4.8503, steps: 23.3242, lengths: 8.9475, success_rate: 0.3487, oracle_rate: 0.4133, spl: 0.3359, train , nav_error: 6.6268, oracle_error: 4.6065, steps: 23.2623, lengths: 8.9347, success_rate: 0.3654, oracle_rate: 0.4365, spl: 0.3469
