BEST RESULT TILL NOW: val_seen | Iter 1844 iter 1844, val_unseen , nav_error: 6.9160, oracle_error: 4.6325, steps: 22.3661, lengths: 8.7398, success_rate: 0.3321, oracle_rate: 0.4040, spl: 0.3130, val_seen , nav_error: 7.0173, oracle_error: 4.8693, steps: 23.2341, lengths: 9.0443, success_rate: 0.3379, oracle_rate: 0.4074, spl: 0.3249, train , nav_error: 6.5373, oracle_error: 4.5232, steps: 23.0665, lengths: 9.0314, success_rate: 0.3737, oracle_rate: 0.4473, spl: 0.3546
BEST RESULT TILL NOW: val_unseen | Iter 1621 iter 1621, val_unseen , nav_error: 6.9381, oracle_error: 4.3832, steps: 24.3465, lengths: 9.6986, success_rate: 0.3372, oracle_rate: 0.4444, spl: 0.3100, val_seen , nav_error: 7.1668, oracle_error: 4.7310, steps: 25.6552, lengths: 10.0160, success_rate: 0.3350, oracle_rate: 0.4388, spl: 0.3128, train , nav_error: 6.8930, oracle_error: 4.4501, steps: 25.0860, lengths: 9.8602, success_rate: 0.3574, oracle_rate: 0.4612, spl: 0.3304
iter 2051, val_unseen , nav_error: 6.6374, oracle_error: 4.3577, steps: 23.3857, lengths: 9.1612, success_rate: 0.3734, oracle_rate: 0.4538, spl: 0.3475, val_seen , nav_error: 7.0038, oracle_error: 4.7532, steps: 24.5583, lengths: 9.5178, success_rate: 0.3330, oracle_rate: 0.4172, spl: 0.3155, train , nav_error: 6.5049, oracle_error: 4.3643, steps: 23.9602, lengths: 9.4319, success_rate: 0.3866, oracle_rate: 0.4715, spl: 0.3629
BEST RESULT TILL NOW: val_seen | Iter 1844 iter 1844, val_unseen , nav_error: 6.9160, oracle_error: 4.6325, steps: 22.3661, lengths: 8.7398, success_rate: 0.3321, oracle_rate: 0.4040, spl: 0.3130, val_seen , nav_error: 7.0173, oracle_error: 4.8693, steps: 23.2341, lengths: 9.0443, success_rate: 0.3379, oracle_rate: 0.4074, spl: 0.3249, train , nav_error: 6.5373, oracle_error: 4.5232, steps: 23.0665, lengths: 9.0314, success_rate: 0.3737, oracle_rate: 0.4473, spl: 0.3546
BEST RESULT TILL NOW: val_unseen | Iter 2051 iter 2051, val_unseen , nav_error: 6.6374, oracle_error: 4.3577, steps: 23.3857, lengths: 9.1612, success_rate: 0.3734, oracle_rate: 0.4538, spl: 0.3475, val_seen , nav_error: 7.0038, oracle_error: 4.7532, steps: 24.5583, lengths: 9.5178, success_rate: 0.3330, oracle_rate: 0.4172, spl: 0.3155, train , nav_error: 6.5049, oracle_error: 4.3643, steps: 23.9602, lengths: 9.4319, success_rate: 0.3866, oracle_rate: 0.4715, spl: 0.3629
iter 2292, val_unseen , nav_error: 6.9727, oracle_error: 4.5154, steps: 22.6803, lengths: 9.2119, success_rate: 0.3516, oracle_rate: 0.4368, spl: 0.3271, val_seen , nav_error: 6.7787, oracle_error: 4.5473, steps: 23.7434, lengths: 9.4549, success_rate: 0.3702, oracle_rate: 0.4574, spl: 0.3542, train , nav_error: 6.5222, oracle_error: 4.3256, steps: 23.5755, lengths: 9.4998, success_rate: 0.3918, oracle_rate: 0.4805, spl: 0.3673
BEST RESULT TILL NOW: val_seen | Iter 2292 iter 2292, val_unseen , nav_error: 6.9727, oracle_error: 4.5154, steps: 22.6803, lengths: 9.2119, success_rate: 0.3516, oracle_rate: 0.4368, spl: 0.3271, val_seen , nav_error: 6.7787, oracle_error: 4.5473, steps: 23.7434, lengths: 9.4549, success_rate: 0.3702, oracle_rate: 0.4574, spl: 0.3542, train , nav_error: 6.5222, oracle_error: 4.3256, steps: 23.5755, lengths: 9.4998, success_rate: 0.3918, oracle_rate: 0.4805, spl: 0.3673
BEST RESULT TILL NOW: val_unseen | Iter 2051 iter 2051, val_unseen , nav_error: 6.6374, oracle_error: 4.3577, steps: 23.3857, lengths: 9.1612, success_rate: 0.3734, oracle_rate: 0.4538, spl: 0.3475, val_seen , nav_error: 7.0038, oracle_error: 4.7532, steps: 24.5583, lengths: 9.5178, success_rate: 0.3330, oracle_rate: 0.4172, spl: 0.3155, train , nav_error: 6.5049, oracle_error: 4.3643, steps: 23.9602, lengths: 9.4319, success_rate: 0.3866, oracle_rate: 0.4715, spl: 0.3629
iter 2531, val_unseen , nav_error: 6.5388, oracle_error: 4.3912, steps: 21.7884, lengths: 8.9487, success_rate: 0.3721, oracle_rate: 0.4483, spl: 0.3486, val_seen , nav_error: 6.7417, oracle_error: 4.6723, steps: 22.9452, lengths: 9.2066, success_rate: 0.3732, oracle_rate: 0.4476, spl: 0.3560, train , nav_error: 6.2180, oracle_error: 4.2972, steps: 22.6892, lengths: 9.1725, success_rate: 0.4042, oracle_rate: 0.4775, spl: 0.3833
BEST RESULT TILL NOW: val_seen | Iter 2531 iter 2531, val_unseen , nav_error: 6.5388, oracle_error: 4.3912, steps: 21.7884, lengths: 8.9487, success_rate: 0.3721, oracle_rate: 0.4483, spl: 0.3486, val_seen , nav_error: 6.7417, oracle_error: 4.6723, steps: 22.9452, lengths: 9.2066, success_rate: 0.3732, oracle_rate: 0.4476, spl: 0.3560, train , nav_error: 6.2180, oracle_error: 4.2972, steps: 22.6892, lengths: 9.1725, success_rate: 0.4042, oracle_rate: 0.4775, spl: 0.3833
BEST RESULT TILL NOW: val_unseen | Iter 2051 iter 2051, val_unseen , nav_error: 6.6374, oracle_error: 4.3577, steps: 23.3857, lengths: 9.1612, success_rate: 0.3734, oracle_rate: 0.4538, spl: 0.3475, val_seen , nav_error: 7.0038, oracle_error: 4.7532, steps: 24.5583, lengths: 9.5178, success_rate: 0.3330, oracle_rate: 0.4172, spl: 0.3155, train , nav_error: 6.5049, oracle_error: 4.3643, steps: 23.9602, lengths: 9.4319, success_rate: 0.3866, oracle_rate: 0.4715, spl: 0.3629
iter 2760, val_unseen , nav_error: 6.6276, oracle_error: 4.5215, steps: 21.6709, lengths: 8.8372, success_rate: 0.3614, oracle_rate: 0.4295, spl: 0.3404, val_seen , nav_error: 6.7252, oracle_error: 4.6984, steps: 22.8276, lengths: 9.0905, success_rate: 0.3614, oracle_rate: 0.4261, spl: 0.3465, train , nav_error: 6.1826, oracle_error: 4.3042, steps: 22.4476, lengths: 9.0887, success_rate: 0.4101, oracle_rate: 0.4787, spl: 0.3888
BEST RESULT TILL NOW: val_seen | Iter 2531 iter 2531, val_unseen , nav_error: 6.5388, oracle_error: 4.3912, steps: 21.7884, lengths: 8.9487, success_rate: 0.3721, oracle_rate: 0.4483, spl: 0.3486, val_seen , nav_error: 6.7417, oracle_error: 4.6723, steps: 22.9452, lengths: 9.2066, success_rate: 0.3732, oracle_rate: 0.4476, spl: 0.3560, train , nav_error: 6.2180, oracle_error: 4.2972, steps: 22.6892, lengths: 9.1725, success_rate: 0.4042, oracle_rate: 0.4775, spl: 0.3833
BEST RESULT TILL NOW: val_unseen | Iter 2051 iter 2051, val_unseen , nav_error: 6.6374, oracle_error: 4.3577, steps: 23.3857, lengths: 9.1612, success_rate: 0.3734, oracle_rate: 0.4538, spl: 0.3475, val_seen , nav_error: 7.0038, oracle_error: 4.7532, steps: 24.5583, lengths: 9.5178, success_rate: 0.3330, oracle_rate: 0.4172, spl: 0.3155, train , nav_error: 6.5049, oracle_error: 4.3643, steps: 23.9602, lengths: 9.4319, success_rate: 0.3866, oracle_rate: 0.4715, spl: 0.3629
iter 2951, val_unseen , nav_error: 6.5794, oracle_error: 4.3972, steps: 21.8412, lengths: 9.0403, success_rate: 0.3810, oracle_rate: 0.4517, spl: 0.3560, val_seen , nav_error: 6.6350, oracle_error: 4.6132, steps: 23.4858, lengths: 9.2516, success_rate: 0.3732, oracle_rate: 0.4437, spl: 0.3579, train , nav_error: 6.1370, oracle_error: 4.2283, steps: 23.0417, lengths: 9.2588, success_rate: 0.4116, oracle_rate: 0.4852, spl: 0.3886
BEST RESULT TILL NOW: val_seen | Iter 2951 iter 2951, val_unseen , nav_error: 6.5794, oracle_error: 4.3972, steps: 21.8412, lengths: 9.0403, success_rate: 0.3810, oracle_rate: 0.4517, spl: 0.3560, val_seen , nav_error: 6.6350, oracle_error: 4.6132, steps: 23.4858, lengths: 9.2516, success_rate: 0.3732, oracle_rate: 0.4437, spl: 0.3579, train , nav_error: 6.1370, oracle_error: 4.2283, steps: 23.0417, lengths: 9.2588, success_rate: 0.4116, oracle_rate: 0.4852, spl: 0.3886
BEST RESULT TILL NOW: val_unseen | Iter 2951 iter 2951, val_unseen , nav_error: 6.5794, oracle_error: 4.3972, steps: 21.8412, lengths: 9.0403, success_rate: 0.3810, oracle_rate: 0.4517, spl: 0.3560, val_seen , nav_error: 6.6350, oracle_error: 4.6132, steps: 23.4858, lengths: 9.2516, success_rate: 0.3732, oracle_rate: 0.4437, spl: 0.3579, train , nav_error: 6.1370, oracle_error: 4.2283, steps: 23.0417, lengths: 9.2588, success_rate: 0.4116, oracle_rate: 0.4852, spl: 0.3886
iter 3158, val_unseen , nav_error: 6.7194, oracle_error: 4.2001, steps: 24.9327, lengths: 9.7991, success_rate: 0.3814, oracle_rate: 0.4806, spl: 0.3506, val_seen , nav_error: 6.6759, oracle_error: 4.2947, steps: 26.3026, lengths: 10.1388, success_rate: 0.3663, oracle_rate: 0.4799, spl: 0.3436, train , nav_error: 6.2185, oracle_error: 3.9729, steps: 25.8466, lengths: 10.0510, success_rate: 0.4178, oracle_rate: 0.5215, spl: 0.3879
BEST RESULT TILL NOW: val_seen | Iter 2951 iter 2951, val_unseen , nav_error: 6.5794, oracle_error: 4.3972, steps: 21.8412, lengths: 9.0403, success_rate: 0.3810, oracle_rate: 0.4517, spl: 0.3560, val_seen , nav_error: 6.6350, oracle_error: 4.6132, steps: 23.4858, lengths: 9.2516, success_rate: 0.3732, oracle_rate: 0.4437, spl: 0.3579, train , nav_error: 6.1370, oracle_error: 4.2283, steps: 23.0417, lengths: 9.2588, success_rate: 0.4116, oracle_rate: 0.4852, spl: 0.3886
BEST RESULT TILL NOW: val_unseen | Iter 3158 iter 3158, val_unseen , nav_error: 6.7194, oracle_error: 4.2001, steps: 24.9327, lengths: 9.7991, success_rate: 0.3814, oracle_rate: 0.4806, spl: 0.3506, val_seen , nav_error: 6.6759, oracle_error: 4.2947, steps: 26.3026, lengths: 10.1388, success_rate: 0.3663, oracle_rate: 0.4799, spl: 0.3436, train , nav_error: 6.2185, oracle_error: 3.9729, steps: 25.8466, lengths: 10.0510, success_rate: 0.4178, oracle_rate: 0.5215, spl: 0.3879
