iter 160527, train , nav_error: 1.0080, oracle_error: 0.7293, steps: 28.3619, lengths: 10.9274, cls: 0.8788, ndtw: 0.8107, sdtw: 0.7824, success_rate: 0.9085, oracle_rate: 0.9335, spl: 0.8778, val_seen , nav_error: 4.3396, oracle_error: 2.8171, steps: 39.9373, lengths: 14.8326, cls: 0.6546, ndtw: 0.5377, sdtw: 0.4440, success_rate: 0.6024, oracle_rate: 0.6866, spl: 0.5572, val_unseen , nav_error: 4.9779, oracle_error: 3.0740, steps: 48.6718, lengths: 17.4256, cls: 0.5764, ndtw: 0.4533, sdtw: 0.3631, success_rate: 0.5326, oracle_rate: 0.6394, spl: 0.4697
BEST RESULT TILL NOW: val_seen | Iter 159604 iter 159604, train , nav_error: 0.7397, oracle_error: 0.5375, steps: 27.0508, lengths: 10.5409, cls: 0.9060, ndtw: 0.8473, sdtw: 0.8278, success_rate: 0.9383, oracle_rate: 0.9560, spl: 0.9131, val_seen , nav_error: 4.0803, oracle_error: 2.5768, steps: 36.7189, lengths: 13.7749, cls: 0.6751, ndtw: 0.5630, sdtw: 0.4837, success_rate: 0.6288, oracle_rate: 0.7140, spl: 0.5888, val_unseen , nav_error: 4.6845, oracle_error: 2.8782, steps: 46.5470, lengths: 16.6760, cls: 0.5894, ndtw: 0.4586, sdtw: 0.3732, success_rate: 0.5496, oracle_rate: 0.6624, spl: 0.4831
BEST RESULT TILL NOW: val_unseen | Iter 160527 iter 160527, train , nav_error: 1.0080, oracle_error: 0.7293, steps: 28.3619, lengths: 10.9274, cls: 0.8788, ndtw: 0.8107, sdtw: 0.7824, success_rate: 0.9085, oracle_rate: 0.9335, spl: 0.8778, val_seen , nav_error: 4.3396, oracle_error: 2.8171, steps: 39.9373, lengths: 14.8326, cls: 0.6546, ndtw: 0.5377, sdtw: 0.4440, success_rate: 0.6024, oracle_rate: 0.6866, spl: 0.5572, val_unseen , nav_error: 4.9779, oracle_error: 3.0740, steps: 48.6718, lengths: 17.4256, cls: 0.5764, ndtw: 0.4533, sdtw: 0.3631, success_rate: 0.5326, oracle_rate: 0.6394, spl: 0.4697
iter 160599, train , nav_error: 0.8215, oracle_error: 0.6490, steps: 26.7380, lengths: 10.3302, cls: 0.9005, ndtw: 0.8447, sdtw: 0.8203, success_rate: 0.9289, oracle_rate: 0.9449, spl: 0.9070, val_seen , nav_error: 4.1320, oracle_error: 2.7392, steps: 34.2850, lengths: 13.0126, cls: 0.6791, ndtw: 0.5760, sdtw: 0.4776, success_rate: 0.6112, oracle_rate: 0.6915, spl: 0.5769, val_unseen , nav_error: 4.7401, oracle_error: 3.0099, steps: 39.5611, lengths: 14.4519, cls: 0.6103, ndtw: 0.4853, sdtw: 0.3939, success_rate: 0.5594, oracle_rate: 0.6505, spl: 0.5089
BEST RESULT TILL NOW: val_seen | Iter 159604 iter 159604, train , nav_error: 0.7397, oracle_error: 0.5375, steps: 27.0508, lengths: 10.5409, cls: 0.9060, ndtw: 0.8473, sdtw: 0.8278, success_rate: 0.9383, oracle_rate: 0.9560, spl: 0.9131, val_seen , nav_error: 4.0803, oracle_error: 2.5768, steps: 36.7189, lengths: 13.7749, cls: 0.6751, ndtw: 0.5630, sdtw: 0.4837, success_rate: 0.6288, oracle_rate: 0.7140, spl: 0.5888, val_unseen , nav_error: 4.6845, oracle_error: 2.8782, steps: 46.5470, lengths: 16.6760, cls: 0.5894, ndtw: 0.4586, sdtw: 0.3732, success_rate: 0.5496, oracle_rate: 0.6624, spl: 0.4831
BEST RESULT TILL NOW: val_unseen | Iter 160599 iter 160599, train , nav_error: 0.8215, oracle_error: 0.6490, steps: 26.7380, lengths: 10.3302, cls: 0.9005, ndtw: 0.8447, sdtw: 0.8203, success_rate: 0.9289, oracle_rate: 0.9449, spl: 0.9070, val_seen , nav_error: 4.1320, oracle_error: 2.7392, steps: 34.2850, lengths: 13.0126, cls: 0.6791, ndtw: 0.5760, sdtw: 0.4776, success_rate: 0.6112, oracle_rate: 0.6915, spl: 0.5769, val_unseen , nav_error: 4.7401, oracle_error: 3.0099, steps: 39.5611, lengths: 14.4519, cls: 0.6103, ndtw: 0.4853, sdtw: 0.3939, success_rate: 0.5594, oracle_rate: 0.6505, spl: 0.5089
iter 160796, train , nav_error: 0.7986, oracle_error: 0.6350, steps: 26.5562, lengths: 10.2945, cls: 0.9018, ndtw: 0.8440, sdtw: 0.8208, success_rate: 0.9318, oracle_rate: 0.9460, spl: 0.9093, val_seen , nav_error: 4.0542, oracle_error: 2.6801, steps: 35.1734, lengths: 13.2982, cls: 0.6787, ndtw: 0.5700, sdtw: 0.4742, success_rate: 0.6200, oracle_rate: 0.6944, spl: 0.5822, val_unseen , nav_error: 4.7754, oracle_error: 3.0094, steps: 41.9012, lengths: 15.4163, cls: 0.6010, ndtw: 0.4804, sdtw: 0.3890, success_rate: 0.5547, oracle_rate: 0.6479, spl: 0.5002
BEST RESULT TILL NOW: val_seen | Iter 159604 iter 159604, train , nav_error: 0.7397, oracle_error: 0.5375, steps: 27.0508, lengths: 10.5409, cls: 0.9060, ndtw: 0.8473, sdtw: 0.8278, success_rate: 0.9383, oracle_rate: 0.9560, spl: 0.9131, val_seen , nav_error: 4.0803, oracle_error: 2.5768, steps: 36.7189, lengths: 13.7749, cls: 0.6751, ndtw: 0.5630, sdtw: 0.4837, success_rate: 0.6288, oracle_rate: 0.7140, spl: 0.5888, val_unseen , nav_error: 4.6845, oracle_error: 2.8782, steps: 46.5470, lengths: 16.6760, cls: 0.5894, ndtw: 0.4586, sdtw: 0.3732, success_rate: 0.5496, oracle_rate: 0.6624, spl: 0.4831
BEST RESULT TILL NOW: val_unseen | Iter 160796 iter 160796, train , nav_error: 0.7986, oracle_error: 0.6350, steps: 26.5562, lengths: 10.2945, cls: 0.9018, ndtw: 0.8440, sdtw: 0.8208, success_rate: 0.9318, oracle_rate: 0.9460, spl: 0.9093, val_seen , nav_error: 4.0542, oracle_error: 2.6801, steps: 35.1734, lengths: 13.2982, cls: 0.6787, ndtw: 0.5700, sdtw: 0.4742, success_rate: 0.6200, oracle_rate: 0.6944, spl: 0.5822, val_unseen , nav_error: 4.7754, oracle_error: 3.0094, steps: 41.9012, lengths: 15.4163, cls: 0.6010, ndtw: 0.4804, sdtw: 0.3890, success_rate: 0.5547, oracle_rate: 0.6479, spl: 0.5002
iter 161004, train , nav_error: 0.8920, oracle_error: 0.6495, steps: 27.6404, lengths: 10.7408, cls: 0.8889, ndtw: 0.8223, sdtw: 0.7985, success_rate: 0.9228, oracle_rate: 0.9444, spl: 0.8935, val_seen , nav_error: 4.0296, oracle_error: 2.5528, steps: 38.7287, lengths: 14.5738, cls: 0.6735, ndtw: 0.5546, sdtw: 0.4697, success_rate: 0.6298, oracle_rate: 0.7160, spl: 0.5867, val_unseen , nav_error: 4.8455, oracle_error: 2.9361, steps: 46.3495, lengths: 17.3218, cls: 0.5837, ndtw: 0.4613, sdtw: 0.3761, success_rate: 0.5483, oracle_rate: 0.6552, spl: 0.4844
BEST RESULT TILL NOW: val_seen | Iter 161004 iter 161004, train , nav_error: 0.8920, oracle_error: 0.6495, steps: 27.6404, lengths: 10.7408, cls: 0.8889, ndtw: 0.8223, sdtw: 0.7985, success_rate: 0.9228, oracle_rate: 0.9444, spl: 0.8935, val_seen , nav_error: 4.0296, oracle_error: 2.5528, steps: 38.7287, lengths: 14.5738, cls: 0.6735, ndtw: 0.5546, sdtw: 0.4697, success_rate: 0.6298, oracle_rate: 0.7160, spl: 0.5867, val_unseen , nav_error: 4.8455, oracle_error: 2.9361, steps: 46.3495, lengths: 17.3218, cls: 0.5837, ndtw: 0.4613, sdtw: 0.3761, success_rate: 0.5483, oracle_rate: 0.6552, spl: 0.4844
