BEST RESULT TILL NOW: val_seen | Iter 159430 iter 159430, train , nav_error: 0.8047, oracle_error: 0.6251, steps: 27.4525, lengths: 10.6083, cls: 0.8974, ndtw: 0.8376, sdtw: 0.8159, success_rate: 0.9320, oracle_rate: 0.9474, spl: 0.9071, val_seen , nav_error: 4.0920, oracle_error: 2.6969, steps: 38.0176, lengths: 13.7388, cls: 0.6745, ndtw: 0.5620, sdtw: 0.4720, success_rate: 0.6170, oracle_rate: 0.6905, spl: 0.5786, val_unseen , nav_error: 4.7421, oracle_error: 3.0366, steps: 46.0068, lengths: 16.4609, cls: 0.5921, ndtw: 0.4698, sdtw: 0.3798, success_rate: 0.5475, oracle_rate: 0.6424, spl: 0.4878
BEST RESULT TILL NOW: val_unseen | Iter 160527 iter 160527, train , nav_error: 1.0563, oracle_error: 0.8255, steps: 27.8630, lengths: 10.7527, cls: 0.8764, ndtw: 0.8117, sdtw: 0.7790, success_rate: 0.9028, oracle_rate: 0.9229, spl: 0.8750, val_seen , nav_error: 4.2210, oracle_error: 2.8675, steps: 36.4878, lengths: 13.7101, cls: 0.6666, ndtw: 0.5526, sdtw: 0.4576, success_rate: 0.6072, oracle_rate: 0.6778, spl: 0.5705, val_unseen , nav_error: 4.4844, oracle_error: 2.9060, steps: 41.0375, lengths: 14.9305, cls: 0.6167, ndtw: 0.4994, sdtw: 0.4070, success_rate: 0.5675, oracle_rate: 0.6560, spl: 0.5156
iter 160599, train , nav_error: 1.1818, oracle_error: 0.9242, steps: 27.4965, lengths: 10.6069, cls: 0.8689, ndtw: 0.8014, sdtw: 0.7652, success_rate: 0.8892, oracle_rate: 0.9104, spl: 0.8627, val_seen , nav_error: 4.2872, oracle_error: 2.9725, steps: 35.0147, lengths: 12.9868, cls: 0.6698, ndtw: 0.5671, sdtw: 0.4653, success_rate: 0.5975, oracle_rate: 0.6601, spl: 0.5650, val_unseen , nav_error: 4.4412, oracle_error: 2.9138, steps: 37.0698, lengths: 13.6392, cls: 0.6264, ndtw: 0.5115, sdtw: 0.4158, success_rate: 0.5743, oracle_rate: 0.6586, spl: 0.5259
BEST RESULT TILL NOW: val_seen | Iter 159430 iter 159430, train , nav_error: 0.8047, oracle_error: 0.6251, steps: 27.4525, lengths: 10.6083, cls: 0.8974, ndtw: 0.8376, sdtw: 0.8159, success_rate: 0.9320, oracle_rate: 0.9474, spl: 0.9071, val_seen , nav_error: 4.0920, oracle_error: 2.6969, steps: 38.0176, lengths: 13.7388, cls: 0.6745, ndtw: 0.5620, sdtw: 0.4720, success_rate: 0.6170, oracle_rate: 0.6905, spl: 0.5786, val_unseen , nav_error: 4.7421, oracle_error: 3.0366, steps: 46.0068, lengths: 16.4609, cls: 0.5921, ndtw: 0.4698, sdtw: 0.3798, success_rate: 0.5475, oracle_rate: 0.6424, spl: 0.4878
BEST RESULT TILL NOW: val_unseen | Iter 160527 iter 160527, train , nav_error: 1.0563, oracle_error: 0.8255, steps: 27.8630, lengths: 10.7527, cls: 0.8764, ndtw: 0.8117, sdtw: 0.7790, success_rate: 0.9028, oracle_rate: 0.9229, spl: 0.8750, val_seen , nav_error: 4.2210, oracle_error: 2.8675, steps: 36.4878, lengths: 13.7101, cls: 0.6666, ndtw: 0.5526, sdtw: 0.4576, success_rate: 0.6072, oracle_rate: 0.6778, spl: 0.5705, val_unseen , nav_error: 4.4844, oracle_error: 2.9060, steps: 41.0375, lengths: 14.9305, cls: 0.6167, ndtw: 0.4994, sdtw: 0.4070, success_rate: 0.5675, oracle_rate: 0.6560, spl: 0.5156
iter 160796, train , nav_error: 1.1785, oracle_error: 0.9071, steps: 27.4668, lengths: 10.6785, cls: 0.8687, ndtw: 0.8005, sdtw: 0.7660, success_rate: 0.8923, oracle_rate: 0.9139, spl: 0.8644, val_seen , nav_error: 4.2086, oracle_error: 2.8853, steps: 33.7718, lengths: 13.0904, cls: 0.6679, ndtw: 0.5571, sdtw: 0.4539, success_rate: 0.5975, oracle_rate: 0.6650, spl: 0.5628, val_unseen , nav_error: 4.3961, oracle_error: 2.8512, steps: 36.9034, lengths: 13.8022, cls: 0.6285, ndtw: 0.5138, sdtw: 0.4193, success_rate: 0.5781, oracle_rate: 0.6671, spl: 0.5281
BEST RESULT TILL NOW: val_seen | Iter 159430 iter 159430, train , nav_error: 0.8047, oracle_error: 0.6251, steps: 27.4525, lengths: 10.6083, cls: 0.8974, ndtw: 0.8376, sdtw: 0.8159, success_rate: 0.9320, oracle_rate: 0.9474, spl: 0.9071, val_seen , nav_error: 4.0920, oracle_error: 2.6969, steps: 38.0176, lengths: 13.7388, cls: 0.6745, ndtw: 0.5620, sdtw: 0.4720, success_rate: 0.6170, oracle_rate: 0.6905, spl: 0.5786, val_unseen , nav_error: 4.7421, oracle_error: 3.0366, steps: 46.0068, lengths: 16.4609, cls: 0.5921, ndtw: 0.4698, sdtw: 0.3798, success_rate: 0.5475, oracle_rate: 0.6424, spl: 0.4878
BEST RESULT TILL NOW: val_unseen | Iter 160527 iter 160527, train , nav_error: 1.0563, oracle_error: 0.8255, steps: 27.8630, lengths: 10.7527, cls: 0.8764, ndtw: 0.8117, sdtw: 0.7790, success_rate: 0.9028, oracle_rate: 0.9229, spl: 0.8750, val_seen , nav_error: 4.2210, oracle_error: 2.8675, steps: 36.4878, lengths: 13.7101, cls: 0.6666, ndtw: 0.5526, sdtw: 0.4576, success_rate: 0.6072, oracle_rate: 0.6778, spl: 0.5705, val_unseen , nav_error: 4.4844, oracle_error: 2.9060, steps: 41.0375, lengths: 14.9305, cls: 0.6167, ndtw: 0.4994, sdtw: 0.4070, success_rate: 0.5675, oracle_rate: 0.6560, spl: 0.5156
iter 161004, train , nav_error: 1.1549, oracle_error: 0.8673, steps: 27.9918, lengths: 10.8856, cls: 0.8674, ndtw: 0.7965, sdtw: 0.7631, success_rate: 0.8941, oracle_rate: 0.9177, spl: 0.8631, val_seen , nav_error: 4.1680, oracle_error: 2.8046, steps: 35.9334, lengths: 13.8092, cls: 0.6666, ndtw: 0.5520, sdtw: 0.4565, success_rate: 0.6082, oracle_rate: 0.6758, spl: 0.5680, val_unseen , nav_error: 4.4719, oracle_error: 2.7895, steps: 39.7007, lengths: 15.0550, cls: 0.6187, ndtw: 0.5058, sdtw: 0.4120, success_rate: 0.5722, oracle_rate: 0.6696, spl: 0.5168
BEST RESULT TILL NOW: val_seen | Iter 159430 iter 159430, train , nav_error: 0.8047, oracle_error: 0.6251, steps: 27.4525, lengths: 10.6083, cls: 0.8974, ndtw: 0.8376, sdtw: 0.8159, success_rate: 0.9320, oracle_rate: 0.9474, spl: 0.9071, val_seen , nav_error: 4.0920, oracle_error: 2.6969, steps: 38.0176, lengths: 13.7388, cls: 0.6745, ndtw: 0.5620, sdtw: 0.4720, success_rate: 0.6170, oracle_rate: 0.6905, spl: 0.5786, val_unseen , nav_error: 4.7421, oracle_error: 3.0366, steps: 46.0068, lengths: 16.4609, cls: 0.5921, ndtw: 0.4698, sdtw: 0.3798, success_rate: 0.5475, oracle_rate: 0.6424, spl: 0.4878
