BEST RESULT TILL NOW: val_seen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
BEST RESULT TILL NOW: val_unseen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
iter 81745, val_unseen , nav_error: 5.1984, oracle_error: 3.3923, steps: 31.6007, lengths: 11.7450, success_rate: 0.4887, oracle_rate: 0.5832, spl: 0.4479, val_seen , nav_error: 4.5545, oracle_error: 3.0716, steps: 28.6983, lengths: 10.9775, success_rate: 0.5612, oracle_rate: 0.6327, spl: 0.5263, train , nav_error: 1.9973, oracle_error: 1.4282, steps: 26.8349, lengths: 10.3774, success_rate: 0.8030, oracle_rate: 0.8445, spl: 0.7711
BEST RESULT TILL NOW: val_seen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
BEST RESULT TILL NOW: val_unseen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
iter 81989, val_unseen , nav_error: 5.2695, oracle_error: 3.4375, steps: 30.0736, lengths: 11.3967, success_rate: 0.4921, oracle_rate: 0.5798, spl: 0.4517, val_seen , nav_error: 4.5780, oracle_error: 3.1002, steps: 28.1038, lengths: 10.7926, success_rate: 0.5651, oracle_rate: 0.6337, spl: 0.5334, train , nav_error: 1.9938, oracle_error: 1.4372, steps: 26.6303, lengths: 10.2908, success_rate: 0.8030, oracle_rate: 0.8404, spl: 0.7719
BEST RESULT TILL NOW: val_seen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
BEST RESULT TILL NOW: val_unseen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
iter 82217, val_unseen , nav_error: 5.2120, oracle_error: 3.4472, steps: 30.0387, lengths: 11.2217, success_rate: 0.4972, oracle_rate: 0.5790, spl: 0.4573, val_seen , nav_error: 4.5895, oracle_error: 3.1114, steps: 27.8315, lengths: 10.7224, success_rate: 0.5593, oracle_rate: 0.6288, spl: 0.5271, train , nav_error: 1.9576, oracle_error: 1.4045, steps: 26.4133, lengths: 10.2233, success_rate: 0.8060, oracle_rate: 0.8459, spl: 0.7749
BEST RESULT TILL NOW: val_seen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
BEST RESULT TILL NOW: val_unseen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
iter 82440, val_unseen , nav_error: 5.1936, oracle_error: 3.3782, steps: 32.0102, lengths: 11.9926, success_rate: 0.5079, oracle_rate: 0.5934, spl: 0.4632, val_seen , nav_error: 4.4690, oracle_error: 3.0228, steps: 28.3947, lengths: 10.8738, success_rate: 0.5651, oracle_rate: 0.6405, spl: 0.5329, train , nav_error: 1.9362, oracle_error: 1.3931, steps: 26.6454, lengths: 10.3267, success_rate: 0.8069, oracle_rate: 0.8461, spl: 0.7757
BEST RESULT TILL NOW: val_seen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
BEST RESULT TILL NOW: val_unseen | Iter 82440 iter 82440, val_unseen , nav_error: 5.1936, oracle_error: 3.3782, steps: 32.0102, lengths: 11.9926, success_rate: 0.5079, oracle_rate: 0.5934, spl: 0.4632, val_seen , nav_error: 4.4690, oracle_error: 3.0228, steps: 28.3947, lengths: 10.8738, success_rate: 0.5651, oracle_rate: 0.6405, spl: 0.5329, train , nav_error: 1.9362, oracle_error: 1.3931, steps: 26.6454, lengths: 10.3267, success_rate: 0.8069, oracle_rate: 0.8461, spl: 0.7757
iter 82647, val_unseen , nav_error: 5.2955, oracle_error: 3.4322, steps: 30.5986, lengths: 11.5227, success_rate: 0.4972, oracle_rate: 0.5802, spl: 0.4553, val_seen , nav_error: 4.6061, oracle_error: 3.0378, steps: 28.7405, lengths: 10.9428, success_rate: 0.5681, oracle_rate: 0.6474, spl: 0.5335, train , nav_error: 1.9363, oracle_error: 1.3382, steps: 26.7528, lengths: 10.3335, success_rate: 0.8072, oracle_rate: 0.8510, spl: 0.7742
BEST RESULT TILL NOW: val_seen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
BEST RESULT TILL NOW: val_unseen | Iter 82440 iter 82440, val_unseen , nav_error: 5.1936, oracle_error: 3.3782, steps: 32.0102, lengths: 11.9926, success_rate: 0.5079, oracle_rate: 0.5934, spl: 0.4632, val_seen , nav_error: 4.4690, oracle_error: 3.0228, steps: 28.3947, lengths: 10.8738, success_rate: 0.5651, oracle_rate: 0.6405, spl: 0.5329, train , nav_error: 1.9362, oracle_error: 1.3931, steps: 26.6454, lengths: 10.3267, success_rate: 0.8069, oracle_rate: 0.8461, spl: 0.7757
iter 82888, val_unseen , nav_error: 5.2776, oracle_error: 3.4656, steps: 30.4555, lengths: 11.4539, success_rate: 0.4968, oracle_rate: 0.5794, spl: 0.4563, val_seen , nav_error: 4.5704, oracle_error: 3.0813, steps: 28.0793, lengths: 10.8221, success_rate: 0.5632, oracle_rate: 0.6337, spl: 0.5311, train , nav_error: 1.9158, oracle_error: 1.3787, steps: 26.4403, lengths: 10.2631, success_rate: 0.8096, oracle_rate: 0.8486, spl: 0.7793
BEST RESULT TILL NOW: val_seen | Iter 80829 iter 80829, val_unseen , nav_error: 5.2776, oracle_error: 3.4166, steps: 32.6100, lengths: 11.8892, success_rate: 0.5002, oracle_rate: 0.5879, spl: 0.4572, val_seen , nav_error: 4.6258, oracle_error: 3.0628, steps: 29.4662, lengths: 11.3963, success_rate: 0.5710, oracle_rate: 0.6494, spl: 0.5346, train , nav_error: 2.0209, oracle_error: 1.3892, steps: 26.9779, lengths: 10.4333, success_rate: 0.7979, oracle_rate: 0.8471, spl: 0.7642
BEST RESULT TILL NOW: val_unseen | Iter 82440 iter 82440, val_unseen , nav_error: 5.1936, oracle_error: 3.3782, steps: 32.0102, lengths: 11.9926, success_rate: 0.5079, oracle_rate: 0.5934, spl: 0.4632, val_seen , nav_error: 4.4690, oracle_error: 3.0228, steps: 28.3947, lengths: 10.8738, success_rate: 0.5651, oracle_rate: 0.6405, spl: 0.5329, train , nav_error: 1.9362, oracle_error: 1.3931, steps: 26.6454, lengths: 10.3267, success_rate: 0.8069, oracle_rate: 0.8461, spl: 0.7757
iter 83127, val_unseen , nav_error: 5.2699, oracle_error: 3.5020, steps: 30.7118, lengths: 11.5116, success_rate: 0.4955, oracle_rate: 0.5713, spl: 0.4571, val_seen , nav_error: 4.5713, oracle_error: 3.1110, steps: 27.3183, lengths: 10.5936, success_rate: 0.5710, oracle_rate: 0.6327, spl: 0.5402, train , nav_error: 1.9165, oracle_error: 1.3892, steps: 26.1432, lengths: 10.1929, success_rate: 0.8092, oracle_rate: 0.8483, spl: 0.7800
BEST RESULT TILL NOW: val_seen | Iter 83127 iter 83127, val_unseen , nav_error: 5.2699, oracle_error: 3.5020, steps: 30.7118, lengths: 11.5116, success_rate: 0.4955, oracle_rate: 0.5713, spl: 0.4571, val_seen , nav_error: 4.5713, oracle_error: 3.1110, steps: 27.3183, lengths: 10.5936, success_rate: 0.5710, oracle_rate: 0.6327, spl: 0.5402, train , nav_error: 1.9165, oracle_error: 1.3892, steps: 26.1432, lengths: 10.1929, success_rate: 0.8092, oracle_rate: 0.8483, spl: 0.7800
BEST RESULT TILL NOW: val_unseen | Iter 82440 iter 82440, val_unseen , nav_error: 5.1936, oracle_error: 3.3782, steps: 32.0102, lengths: 11.9926, success_rate: 0.5079, oracle_rate: 0.5934, spl: 0.4632, val_seen , nav_error: 4.4690, oracle_error: 3.0228, steps: 28.3947, lengths: 10.8738, success_rate: 0.5651, oracle_rate: 0.6405, spl: 0.5329, train , nav_error: 1.9362, oracle_error: 1.3931, steps: 26.6454, lengths: 10.3267, success_rate: 0.8069, oracle_rate: 0.8461, spl: 0.7757
iter 83356, val_unseen , nav_error: 5.3361, oracle_error: 3.4835, steps: 30.6862, lengths: 11.4604, success_rate: 0.4917, oracle_rate: 0.5760, spl: 0.4486, val_seen , nav_error: 4.6176, oracle_error: 3.0856, steps: 27.3536, lengths: 10.5936, success_rate: 0.5671, oracle_rate: 0.6386, spl: 0.5353, train , nav_error: 1.9585, oracle_error: 1.3772, steps: 26.5031, lengths: 10.2836, success_rate: 0.8049, oracle_rate: 0.8466, spl: 0.7726
BEST RESULT TILL NOW: val_seen | Iter 83127 iter 83127, val_unseen , nav_error: 5.2699, oracle_error: 3.5020, steps: 30.7118, lengths: 11.5116, success_rate: 0.4955, oracle_rate: 0.5713, spl: 0.4571, val_seen , nav_error: 4.5713, oracle_error: 3.1110, steps: 27.3183, lengths: 10.5936, success_rate: 0.5710, oracle_rate: 0.6327, spl: 0.5402, train , nav_error: 1.9165, oracle_error: 1.3892, steps: 26.1432, lengths: 10.1929, success_rate: 0.8092, oracle_rate: 0.8483, spl: 0.7800
BEST RESULT TILL NOW: val_unseen | Iter 82440 iter 82440, val_unseen , nav_error: 5.1936, oracle_error: 3.3782, steps: 32.0102, lengths: 11.9926, success_rate: 0.5079, oracle_rate: 0.5934, spl: 0.4632, val_seen , nav_error: 4.4690, oracle_error: 3.0228, steps: 28.3947, lengths: 10.8738, success_rate: 0.5651, oracle_rate: 0.6405, spl: 0.5329, train , nav_error: 1.9362, oracle_error: 1.3931, steps: 26.6454, lengths: 10.3267, success_rate: 0.8069, oracle_rate: 0.8461, spl: 0.7757
iter 83547, val_unseen , nav_error: 5.3516, oracle_error: 3.3631, steps: 33.4904, lengths: 12.3559, success_rate: 0.4883, oracle_rate: 0.5917, spl: 0.4426, val_seen , nav_error: 4.5490, oracle_error: 2.9845, steps: 29.3408, lengths: 11.1545, success_rate: 0.5622, oracle_rate: 0.6494, spl: 0.5268, train , nav_error: 1.9619, oracle_error: 1.3446, steps: 27.4065, lengths: 10.5246, success_rate: 0.8053, oracle_rate: 0.8524, spl: 0.7708
BEST RESULT TILL NOW: val_seen | Iter 83127 iter 83127, val_unseen , nav_error: 5.2699, oracle_error: 3.5020, steps: 30.7118, lengths: 11.5116, success_rate: 0.4955, oracle_rate: 0.5713, spl: 0.4571, val_seen , nav_error: 4.5713, oracle_error: 3.1110, steps: 27.3183, lengths: 10.5936, success_rate: 0.5710, oracle_rate: 0.6327, spl: 0.5402, train , nav_error: 1.9165, oracle_error: 1.3892, steps: 26.1432, lengths: 10.1929, success_rate: 0.8092, oracle_rate: 0.8483, spl: 0.7800
BEST RESULT TILL NOW: val_unseen | Iter 82440 iter 82440, val_unseen , nav_error: 5.1936, oracle_error: 3.3782, steps: 32.0102, lengths: 11.9926, success_rate: 0.5079, oracle_rate: 0.5934, spl: 0.4632, val_seen , nav_error: 4.4690, oracle_error: 3.0228, steps: 28.3947, lengths: 10.8738, success_rate: 0.5651, oracle_rate: 0.6405, spl: 0.5329, train , nav_error: 1.9362, oracle_error: 1.3931, steps: 26.6454, lengths: 10.3267, success_rate: 0.8069, oracle_rate: 0.8461, spl: 0.7757
iter 83754, val_unseen , nav_error: 5.2666, oracle_error: 3.4313, steps: 29.8263, lengths: 11.2084, success_rate: 0.5006, oracle_rate: 0.5837, spl: 0.4592, val_seen , nav_error: 4.6633, oracle_error: 3.0740, steps: 27.1685, lengths: 10.5715, success_rate: 0.5681, oracle_rate: 0.6386, spl: 0.5365, train , nav_error: 1.9603, oracle_error: 1.3731, steps: 26.3962, lengths: 10.2556, success_rate: 0.8066, oracle_rate: 0.8492, spl: 0.7751
BEST RESULT TILL NOW: val_seen | Iter 83127 iter 83127, val_unseen , nav_error: 5.2699, oracle_error: 3.5020, steps: 30.7118, lengths: 11.5116, success_rate: 0.4955, oracle_rate: 0.5713, spl: 0.4571, val_seen , nav_error: 4.5713, oracle_error: 3.1110, steps: 27.3183, lengths: 10.5936, success_rate: 0.5710, oracle_rate: 0.6327, spl: 0.5402, train , nav_error: 1.9165, oracle_error: 1.3892, steps: 26.1432, lengths: 10.1929, success_rate: 0.8092, oracle_rate: 0.8483, spl: 0.7800
