BEST RESULT TILL NOW: val_seen | Iter 3659 iter 3659, val_unseen , nav_error: 6.4838, oracle_error: 4.3750, steps: 23.3585, lengths: 9.1020, cls: 0.5457, ndtw: 0.4147, sdtw: 0.2809, success_rate: 0.3785, oracle_rate: 0.4513, spl: 0.3546, val_seen , nav_error: 6.4238, oracle_error: 4.4917, steps: 24.4172, lengths: 9.4103, cls: 0.5618, ndtw: 0.4277, sdtw: 0.2767, success_rate: 0.3800, oracle_rate: 0.4476, spl: 0.3591, train , nav_error: 5.8725, oracle_error: 4.0380, steps: 24.2873, lengths: 9.4431, cls: 0.5849, ndtw: 0.4526, sdtw: 0.3197, success_rate: 0.4282, oracle_rate: 0.5062, spl: 0.4036
BEST RESULT TILL NOW: val_unseen | Iter 3214 iter 3214, val_unseen , nav_error: 6.3228, oracle_error: 4.2048, steps: 23.7595, lengths: 9.3766, cls: 0.5512, ndtw: 0.4161, sdtw: 0.2871, success_rate: 0.3883, oracle_rate: 0.4738, spl: 0.3592, val_seen , nav_error: 6.9481, oracle_error: 4.7364, steps: 24.3888, lengths: 9.7695, cls: 0.5337, ndtw: 0.3983, sdtw: 0.2511, success_rate: 0.3438, oracle_rate: 0.4270, spl: 0.3229, train , nav_error: 6.1761, oracle_error: 4.1755, steps: 24.0369, lengths: 9.6705, cls: 0.5667, ndtw: 0.4333, sdtw: 0.2939, success_rate: 0.3924, oracle_rate: 0.4881, spl: 0.3649
iter 4069, val_unseen , nav_error: 6.5193, oracle_error: 4.1906, steps: 24.2299, lengths: 9.4012, cls: 0.5526, ndtw: 0.4136, sdtw: 0.2807, success_rate: 0.3861, oracle_rate: 0.4862, spl: 0.3584, val_seen , nav_error: 6.5411, oracle_error: 4.3569, steps: 25.5191, lengths: 9.8641, cls: 0.5620, ndtw: 0.4127, sdtw: 0.2732, success_rate: 0.3918, oracle_rate: 0.4848, spl: 0.3636, train , nav_error: 5.6949, oracle_error: 3.8106, steps: 24.9686, lengths: 9.7157, cls: 0.5981, ndtw: 0.4589, sdtw: 0.3374, success_rate: 0.4528, oracle_rate: 0.5417, spl: 0.4225
BEST RESULT TILL NOW: val_seen | Iter 4069 iter 4069, val_unseen , nav_error: 6.5193, oracle_error: 4.1906, steps: 24.2299, lengths: 9.4012, cls: 0.5526, ndtw: 0.4136, sdtw: 0.2807, success_rate: 0.3861, oracle_rate: 0.4862, spl: 0.3584, val_seen , nav_error: 6.5411, oracle_error: 4.3569, steps: 25.5191, lengths: 9.8641, cls: 0.5620, ndtw: 0.4127, sdtw: 0.2732, success_rate: 0.3918, oracle_rate: 0.4848, spl: 0.3636, train , nav_error: 5.6949, oracle_error: 3.8106, steps: 24.9686, lengths: 9.7157, cls: 0.5981, ndtw: 0.4589, sdtw: 0.3374, success_rate: 0.4528, oracle_rate: 0.5417, spl: 0.4225
BEST RESULT TILL NOW: val_unseen | Iter 3214 iter 3214, val_unseen , nav_error: 6.3228, oracle_error: 4.2048, steps: 23.7595, lengths: 9.3766, cls: 0.5512, ndtw: 0.4161, sdtw: 0.2871, success_rate: 0.3883, oracle_rate: 0.4738, spl: 0.3592, val_seen , nav_error: 6.9481, oracle_error: 4.7364, steps: 24.3888, lengths: 9.7695, cls: 0.5337, ndtw: 0.3983, sdtw: 0.2511, success_rate: 0.3438, oracle_rate: 0.4270, spl: 0.3229, train , nav_error: 6.1761, oracle_error: 4.1755, steps: 24.0369, lengths: 9.6705, cls: 0.5667, ndtw: 0.4333, sdtw: 0.2939, success_rate: 0.3924, oracle_rate: 0.4881, spl: 0.3649
iter 4546, val_unseen , nav_error: 6.3678, oracle_error: 4.4966, steps: 20.7382, lengths: 8.4751, cls: 0.5540, ndtw: 0.4345, sdtw: 0.2879, success_rate: 0.3831, oracle_rate: 0.4334, spl: 0.3644, val_seen , nav_error: 6.2463, oracle_error: 4.5984, steps: 21.7904, lengths: 8.7465, cls: 0.5841, ndtw: 0.4570, sdtw: 0.2939, success_rate: 0.3839, oracle_rate: 0.4368, spl: 0.3701, train , nav_error: 5.7691, oracle_error: 4.2592, steps: 21.8435, lengths: 8.6913, cls: 0.5965, ndtw: 0.4725, sdtw: 0.3317, success_rate: 0.4300, oracle_rate: 0.4804, spl: 0.4120
BEST RESULT TILL NOW: val_seen | Iter 4069 iter 4069, val_unseen , nav_error: 6.5193, oracle_error: 4.1906, steps: 24.2299, lengths: 9.4012, cls: 0.5526, ndtw: 0.4136, sdtw: 0.2807, success_rate: 0.3861, oracle_rate: 0.4862, spl: 0.3584, val_seen , nav_error: 6.5411, oracle_error: 4.3569, steps: 25.5191, lengths: 9.8641, cls: 0.5620, ndtw: 0.4127, sdtw: 0.2732, success_rate: 0.3918, oracle_rate: 0.4848, spl: 0.3636, train , nav_error: 5.6949, oracle_error: 3.8106, steps: 24.9686, lengths: 9.7157, cls: 0.5981, ndtw: 0.4589, sdtw: 0.3374, success_rate: 0.4528, oracle_rate: 0.5417, spl: 0.4225
BEST RESULT TILL NOW: val_unseen | Iter 3214 iter 3214, val_unseen , nav_error: 6.3228, oracle_error: 4.2048, steps: 23.7595, lengths: 9.3766, cls: 0.5512, ndtw: 0.4161, sdtw: 0.2871, success_rate: 0.3883, oracle_rate: 0.4738, spl: 0.3592, val_seen , nav_error: 6.9481, oracle_error: 4.7364, steps: 24.3888, lengths: 9.7695, cls: 0.5337, ndtw: 0.3983, sdtw: 0.2511, success_rate: 0.3438, oracle_rate: 0.4270, spl: 0.3229, train , nav_error: 6.1761, oracle_error: 4.1755, steps: 24.0369, lengths: 9.6705, cls: 0.5667, ndtw: 0.4333, sdtw: 0.2939, success_rate: 0.3924, oracle_rate: 0.4881, spl: 0.3649
iter 5020, val_unseen , nav_error: 6.1839, oracle_error: 4.3253, steps: 23.2401, lengths: 8.8167, cls: 0.5556, ndtw: 0.4225, sdtw: 0.2852, success_rate: 0.3951, oracle_rate: 0.4559, spl: 0.3698, val_seen , nav_error: 6.4831, oracle_error: 4.6796, steps: 24.4848, lengths: 9.1590, cls: 0.5653, ndtw: 0.4317, sdtw: 0.2766, success_rate: 0.3673, oracle_rate: 0.4319, spl: 0.3503, train , nav_error: 5.5730, oracle_error: 4.0138, steps: 23.8704, lengths: 9.0991, cls: 0.6036, ndtw: 0.4800, sdtw: 0.3408, success_rate: 0.4445, oracle_rate: 0.5066, spl: 0.4221
BEST RESULT TILL NOW: val_seen | Iter 4069 iter 4069, val_unseen , nav_error: 6.5193, oracle_error: 4.1906, steps: 24.2299, lengths: 9.4012, cls: 0.5526, ndtw: 0.4136, sdtw: 0.2807, success_rate: 0.3861, oracle_rate: 0.4862, spl: 0.3584, val_seen , nav_error: 6.5411, oracle_error: 4.3569, steps: 25.5191, lengths: 9.8641, cls: 0.5620, ndtw: 0.4127, sdtw: 0.2732, success_rate: 0.3918, oracle_rate: 0.4848, spl: 0.3636, train , nav_error: 5.6949, oracle_error: 3.8106, steps: 24.9686, lengths: 9.7157, cls: 0.5981, ndtw: 0.4589, sdtw: 0.3374, success_rate: 0.4528, oracle_rate: 0.5417, spl: 0.4225
